Time,Dynasan114,Tween80,Water,ParticleSize
2,10,10,80,432.123
2,10,10,80,434.254
2,10,10,80,432.328
2,10,9,81,452.256
2,10,9,81,453.348
2,10,9,81,452.295
2,10,8,82,500.102
2,10,8,82,498.125
2,10,8,82,498.263
2,9,10,81,416.002
2,9,10,81,421.165
2,9,10,81,419.495
2,9,9,82,433.365
2,9,9,82,439.587
2,9,9,82,438.262
2,9,8,83,467.001
2,9,8,83,461.364
2,9,8,83,465.824
2,8,10,82,404.789
2,8,10,82,406.154
2,8,10,82,406.409
2,8,9,83,419.564
2,8,9,83,417.678
2,8,9,83,419.658
2,8,8,84,421.126
2,8,8,84,423.658
2,8,8,84,421.168
2,7,10,83,385.278
2,7,10,83,387.987
2,7,10,83,385.681
2,7,9,84,398.632
2,7,9,84,396.487
2,7,9,84,397.973
2,7,8,85,398.514
2,7,8,85,401.974
2,7,8,85,402.854
4,10,10,80,389.984
4,10,10,80,387.154
4,10,10,80,387.254
4,10,9,81,401.548
4,10,9,81,402.168
4,10,9,81,401.278
4,10,8,82,415.245
4,10,8,82,415.102
4,10,8,82,416.045
4,9,10,81,376.325
4,9,10,81,374.369
4,9,10,81,375.098
4,9,9,82,372.298
4,9,9,82,373.159
4,9,9,82,373.103
4,9,8,83,383.254
4,9,8,83,383.658
4,9,8,83,384.197
4,8,10,82,365.278
4,8,10,82,367.168
4,8,10,82,368.324
4,8,9,83,351.514
4,8,9,83,351.621
4,8,9,83,353.561
4,8,8,84,375.698
4,8,8,84,373.504
4,8,8,84,373.029
4,7,10,83,333.225
4,7,10,83,334.637
4,7,10,83,334.195
4,7,9,84,342.315
4,7,9,84,343.11
4,7,9,84,344.072
4,7,8,85,360.468
4,7,8,85,361.367
4,7,8,85,361.207
6,10,10,80,325.632
6,10,10,80,324.106
6,10,10,80,325.525
6,10,9,81,347.189
6,10,9,81,347.169
6,10,9,81,348.429
6,10,8,82,363.167
6,10,8,82,365.177
6,10,8,82,364.916
6,9,10,81,320.148
6,9,10,81,320.362
6,9,10,81,321.139
6,9,9,82,343.254
6,9,9,82,343.303
6,9,9,82,343.919
6,9,8,83,352.621
6,9,8,83,353.568
6,9,8,83,352.802
6,8,10,82,314.357
6,8,10,82,314.145
6,8,10,82,315.097
6,8,9,83,338.248
6,8,9,83,339.111
6,8,9,83,339.068
6,8,8,84,348.614
6,8,8,84,347.967
6,8,8,84,348.245
6,7,10,83,301.315
6,7,10,83,304.678
6,7,10,83,305.743
6,7,9,84,304.218
6,7,9,84,305.687
6,7,9,84,305.714
6,7,8,85,307.487
6,7,8,85,306.125
6,7,8,85,305.764
8,10,10,80,324.697
8,10,10,80,324.567
8,10,10,80,323.125
8,10,9,81,343.657
8,10,9,81,342.102
8,10,9,81,342.169
8,10,8,82,352.365
8,10,8,82,353.347
8,10,8,82,352.368
8,9,10,81,315.145
8,9,10,81,312.119
8,9,10,81,312.598
8,9,9,82,335.912
8,9,9,82,335.325
8,9,9,82,333.574
8,9,8,83,344.159
8,9,8,83,345.001
8,9,8,83,344.604
8,8,10,82,300.154
8,8,10,82,300.005
8,8,10,82,302.309
8,8,9,83,333.251
8,8,9,83,332.367
8,8,9,83,332.214
8,8,8,84,341.188
8,8,8,84,345.254
8,8,8,84,340.358
8,7,10,83,289.647
8,7,10,83,287.327
8,7,10,83,285.325
8,7,9,84,289.271
8,7,9,84,286.647
8,7,9,84,286.874
8,7,8,85,301.157
8,7,8,85,300.247
8,7,8,85,297.697
10,10,10,80,306.175
10,10,10,80,303.617
10,10,10,80,305.545
10,10,9,81,311.157
10,10,9,81,310.249
10,10,9,81,310.504
10,10,8,82,321.153
10,10,8,82,318.198
10,10,8,82,320.978
10,9,10,81,303.754
10,9,10,81,303.247
10,9,10,81,304.005
10,9,9,82,307.489
10,9,9,82,307.615
10,9,9,82,306.098
10,9,8,83,311.698
10,9,8,83,308.105
10,9,8,83,309.157
10,8,10,82,296.347
10,8,10,82,295.325
10,8,10,82,295.325
10,8,9,83,301.179
10,8,9,83,300.158
10,8,9,83,300.015
10,8,8,84,305.157
10,8,8,84,303.325
10,8,8,84,304.069
10,7,10,83,265.167
10,7,10,83,262.125
10,7,10,83,263.347
10,7,9,84,272.157
10,7,9,84,271.198
10,7,9,84,268.578
10,7,8,85,283.019
10,7,8,85,282.015
10,7,8,85,282.056
